year,n_art
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,10
2002,50
2003,100
2004,14867
2005,29735
2006,59470
2007,118940
2008,237881
2009,336980
2010,468717
2011,538983
2012,604000
2013,656359
2014,742555
2015,910602
2016,1018905
2017,1121938
2018,1110000
2019,1125000
2020,1155000
2021,1320000
2022,1274000
2023,1316000
2024,
