,Time,Sex,AgeStart,Value
0,1985,Both sexes,0,-35400
0,1995,Both sexes,0,-75506
0,2005,Both sexes,0,5501
0,2015,Both sexes,0,-95977
10,2025,Both sexes,0,-27330
10,2035,Both sexes,0,-66005
10,2045,Both sexes,0,-79818
10,2055,Both sexes,0,-89242
10,2065,Both sexes,0,-90386
10,2075,Both sexes,0,-100462
10,2085,Both sexes,0,-90681
10,2095,Both sexes,0,-87707
